,ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Faturamento,Formua de Venda,Regiao
0,1,2023-06-08,São Paulo,Mouse Gamer,120.0,1,Cliente_4095,120.0,Presencial,Sudeste
5,6,2023-03-11,São Paulo,Cabo HDMI,40.0,1,Cliente_24809,40.0,Presencial,Sudeste
7,8,2024-09-12,São Paulo,"Monitor 27""",1200.0,2,Cliente_14053,2400.0,Presencial,Sudeste
21,22,2023-11-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_28539,1200.0,Presencial,Sudeste
44,45,2023-03-24,São Paulo,iPhone 14,5500.0,2,Cliente_29552,11000.0,Presencial,Sudeste
47,48,2023-10-28,São Paulo,Mouse Gamer,120.0,1,Cliente_27710,120.0,Presencial,Sudeste
49,50,2023-11-09,São Paulo,Teclado Mecânico,250.0,1,Cliente_12892,250.0,Presencial,Sudeste
55,56,2023-11-29,São Paulo,iPhone 14,5500.0,2,Cliente_10628,11000.0,Presencial,Sudeste
70,71,2023-11-16,São Paulo,Notebook HP,3200.0,1,Cliente_18298,3200.0,Presencial,Sudeste
71,72,2023-12-24,São Paulo,Notebook HP,3200.0,10,Cliente_22438,32000.0,Presencial,Sudeste
73,74,2023-04-22,São Paulo,Notebook HP,3200.0,1,Cliente_8812,3200.0,Presencial,Sudeste
75,76,2024-03-10,São Paulo,Notebook HP,3200.0,5,Cliente_17931,16000.0,Presencial,Sudeste
76,77,2023-11-18,São Paulo,iPhone 14,5500.0,1,Cliente_1733,5500.0,Presencial,Sudeste
80,81,2023-03-09,São Paulo,Mouse Gamer,120.0,1,Cliente_2340,120.0,Presencial,Sudeste
88,89,2024-09-30,São Paulo,iPhone 14,5500.0,1,Cliente_5351,5500.0,Presencial,Sudeste
100,101,2023-03-09,São Paulo,Mouse Gamer,120.0,1,Cliente_18239,120.0,Presencial,Sudeste
111,112,2023-03-16,São Paulo,Mouse Gamer,120.0,1,Cliente_25699,120.0,Presencial,Sudeste
123,124,2024-08-03,São Paulo,Mouse Gamer,120.0,5,Cliente_13174,600.0,Presencial,Sudeste
